"Index Name","Date","Open","High","Low","Close"
"NIFTY ENERGY","31 Mar 2021","18372.45","18449.45","18160.40","18185.10"
"NIFTY ENERGY","30 Mar 2021","18392.00","18588.90","18309.70","18418.90"
"NIFTY ENERGY","26 Mar 2021","18345.60","18395.15","18075.50","18217.65"
"NIFTY ENERGY","25 Mar 2021","18719.60","18724.35","18094.20","18133.35"
"NIFTY ENERGY","24 Mar 2021","18853.90","18984.85","18641.05","18676.75"
"NIFTY ENERGY","23 Mar 2021","19076.70","19143.60","18952.55","19005.55"
"NIFTY ENERGY","22 Mar 2021","19151.30","19152.20","18862.85","18991.75"
"NIFTY ENERGY","19 Mar 2021","18264.15","19066.50","18045.15","18985.40"
"NIFTY ENERGY","18 Mar 2021","18834.90","18952.95","18326.65","18404.40"
"NIFTY ENERGY","17 Mar 2021","19279.00","19298.60","18654.55","18693.95"
"NIFTY ENERGY","16 Mar 2021","19404.20","19497.00","19249.35","19293.20"
"NIFTY ENERGY","15 Mar 2021","19440.15","19440.85","19005.75","19322.90"
"NIFTY ENERGY","12 Mar 2021","19546.55","19612.75","19203.70","19318.30"
"NIFTY ENERGY","10 Mar 2021","19544.25","19548.45","19238.70","19331.25"
"NIFTY ENERGY","09 Mar 2021","19654.20","19692.95","19053.85","19385.15"
"NIFTY ENERGY","08 Mar 2021","19516.05","19907.95","19481.50","19650.35"
"NIFTY ENERGY","05 Mar 2021","19514.15","19767.70","19323.55","19428.20"
"NIFTY ENERGY","04 Mar 2021","19486.05","19676.90","19436.80","19507.30"
"NIFTY ENERGY","03 Mar 2021","19567.15","19727.20","19309.55","19670.05"
"NIFTY ENERGY","02 Mar 2021","19355.30","19477.05","19138.90","19303.40"
"NIFTY ENERGY","01 Mar 2021","19096.45","19209.60","18962.15","19159.10"
"NIFTY ENERGY","26 Feb 2021","19079.05","19315.10","18656.20","18793.35"
"NIFTY ENERGY","25 Feb 2021","18934.15","19519.20","18924.90","19355.70"
"NIFTY ENERGY","24 Feb 2021","18843.50","18914.25","18663.20","18782.40"
"NIFTY ENERGY","23 Feb 2021","18576.75","18865.85","18534.60","18717.50"
"NIFTY ENERGY","22 Feb 2021","18669.80","18794.30","18252.60","18336.85"
"NIFTY ENERGY","19 Feb 2021","18747.40","19035.55","18479.85","18681.50"
"NIFTY ENERGY","18 Feb 2021","18404.55","18893.55","18389.50","18770.65"
"NIFTY ENERGY","17 Feb 2021","18066.65","18347.70","17988.75","18305.45"
"NIFTY ENERGY","16 Feb 2021","17749.85","18235.85","17734.60","18129.30"
"NIFTY ENERGY","15 Feb 2021","17829.00","17867.80","17676.25","17714.55"
"NIFTY ENERGY","12 Feb 2021","17997.70","18041.25","17625.10","17753.05"
"NIFTY ENERGY","11 Feb 2021","17661.00","17969.85","17621.90","17945.90"
"NIFTY ENERGY","10 Feb 2021","17709.30","17790.90","17502.65","17706.40"
"NIFTY ENERGY","09 Feb 2021","17751.80","17913.55","17604.90","17685.40"
"NIFTY ENERGY","08 Feb 2021","17441.50","17718.35","17422.60","17664.05"
"NIFTY ENERGY","05 Feb 2021","17614.85","17644.45","17321.15","17415.50"
"NIFTY ENERGY","04 Feb 2021","17274.25","17524.85","17213.50","17462.95"
"NIFTY ENERGY","03 Feb 2021","17040.65","17317.15","16927.25","17221.50"
"NIFTY ENERGY","02 Feb 2021","16779.60","17034.65","16618.40","16950.50"
"NIFTY ENERGY","01 Feb 2021","16294.40","16643.80","16202.80","16587.55"
"NIFTY ENERGY","29 Jan 2021","16586.40","16696.50","16104.60","16159.20"
"NIFTY ENERGY","28 Jan 2021","16340.25","16585.00","16334.15","16459.75"
"NIFTY ENERGY","27 Jan 2021","16695.50","16706.75","16439.45","16482.90"
"NIFTY ENERGY","25 Jan 2021","17327.95","17340.70","16730.70","16772.30"
"NIFTY ENERGY","22 Jan 2021","17596.35","17631.90","17172.90","17259.80"
"NIFTY ENERGY","21 Jan 2021","17710.45","17835.65","17480.05","17564.15"
"NIFTY ENERGY","20 Jan 2021","17565.05","17634.20","17394.65","17596.30"
"NIFTY ENERGY","19 Jan 2021","17346.25","17552.35","17334.55","17518.55"
"NIFTY ENERGY","18 Jan 2021","17371.20","17400.25","16933.30","17200.75"
"NIFTY ENERGY","15 Jan 2021","17771.10","17811.95","17266.70","17341.05"
"NIFTY ENERGY","14 Jan 2021","17531.70","17694.95","17463.00","17669.40"
"NIFTY ENERGY","13 Jan 2021","17425.40","17615.45","17229.05","17430.15"
"NIFTY ENERGY","12 Jan 2021","17140.30","17376.90","17092.30","17329.60"
"NIFTY ENERGY","11 Jan 2021","17336.50","17345.30","17051.35","17108.55"
"NIFTY ENERGY","08 Jan 2021","17166.80","17273.35","17126.50","17255.15"
"NIFTY ENERGY","07 Jan 2021","17206.40","17283.70","16998.15","17042.75"
"NIFTY ENERGY","06 Jan 2021","17168.40","17272.35","16952.70","17097.85"
"NIFTY ENERGY","05 Jan 2021","17058.80","17087.85","16926.25","17070.55"
"NIFTY ENERGY","04 Jan 2021","17096.15","17193.95","16969.30","17176.15"
"NIFTY ENERGY","01 Jan 2021","17002.40","17011.35","16922.30","16976.20"
"NIFTY ENERGY","31 Dec 2020","16933.65","17066.80","16892.60","16922.50"
"NIFTY ENERGY","30 Dec 2020","16938.20","16976.05","16818.50","16948.75"
