"Index Name","Date","Open","High","Low","Close"
"NIFTY HEALTHCARE","31 Mar 2021","-","-","-","7328.48"
"NIFTY HEALTHCARE","30 Mar 2021","-","-","-","7294.99"
"NIFTY HEALTHCARE","26 Mar 2021","-","-","-","7118.01"
"NIFTY HEALTHCARE","25 Mar 2021","-","-","-","7074.38"
"NIFTY HEALTHCARE","24 Mar 2021","-","-","-","7146.66"
"NIFTY HEALTHCARE","23 Mar 2021","-","-","-","7159.38"
"NIFTY HEALTHCARE","22 Mar 2021","-","-","-","7112.85"
"NIFTY HEALTHCARE","19 Mar 2021","-","-","-","7026.11"
"NIFTY HEALTHCARE","18 Mar 2021","-","-","-","6956.38"
"NIFTY HEALTHCARE","17 Mar 2021","-","-","-","7096.12"
"NIFTY HEALTHCARE","16 Mar 2021","-","-","-","7235.99"
"NIFTY HEALTHCARE","15 Mar 2021","-","-","-","7214.61"
"NIFTY HEALTHCARE","12 Mar 2021","-","-","-","7281.77"
"NIFTY HEALTHCARE","10 Mar 2021","-","-","-","7329.69"
"NIFTY HEALTHCARE","09 Mar 2021","-","-","-","7251.83"
"NIFTY HEALTHCARE","08 Mar 2021","-","-","-","7295.58"
"NIFTY HEALTHCARE","05 Mar 2021","-","-","-","7266.17"
"NIFTY HEALTHCARE","04 Mar 2021","-","-","-","7371.88"
"NIFTY HEALTHCARE","03 Mar 2021","-","-","-","7379.32"
"NIFTY HEALTHCARE","02 Mar 2021","-","-","-","7319.99"
"NIFTY HEALTHCARE","01 Mar 2021","-","-","-","7238.57"
"NIFTY HEALTHCARE","26 Feb 2021","-","-","-","7135.57"
"NIFTY HEALTHCARE","25 Feb 2021","-","-","-","7239.13"
"NIFTY HEALTHCARE","24 Feb 2021","-","-","-","7183.61"
"NIFTY HEALTHCARE","23 Feb 2021","-","-","-","7162.00"
"NIFTY HEALTHCARE","22 Feb 2021","-","-","-","7155.68"
"NIFTY HEALTHCARE","19 Feb 2021","-","-","-","7307.99"
