"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","31 Mar 2022","36457.20","36590.85","36278.15","36373.60"
"NIFTY BANK","30 Mar 2022","36241.55","36421.10","36070.55","36334.30"
"NIFTY BANK","29 Mar 2022","35931.75","35977.20","35506.55","35847.40"
"NIFTY BANK","28 Mar 2022","35488.70","35770.80","35016.30","35710.50"
"NIFTY BANK","25 Mar 2022","35700.40","35717.40","35203.85","35410.10"
"NIFTY BANK","24 Mar 2022","35633.70","35957.70","35421.70","35527.10"
"NIFTY BANK","23 Mar 2022","36627.70","36827.60","36064.75","36147.35"
"NIFTY BANK","22 Mar 2022","35975.60","36468.80","35384.75","36348.55"
"NIFTY BANK","21 Mar 2022","36545.85","36600.20","35900.20","36018.50"
"NIFTY BANK","17 Mar 2022","36302.00","36611.95","36261.65","36428.55"
"NIFTY BANK","16 Mar 2022","35555.75","35806.35","35461.55","35748.25"
"NIFTY BANK","15 Mar 2022","35467.95","35643.80","34706.05","35022.65"
"NIFTY BANK","14 Mar 2022","34660.25","35435.10","34625.05","35312.15"
"NIFTY BANK","11 Mar 2022","34331.00","34880.05","34094.30","34546.25"
"NIFTY BANK","10 Mar 2022","35153.95","35374.15","34218.05","34475.60"
"NIFTY BANK","09 Mar 2022","33278.90","33969.50","32948.90","33815.45"
"NIFTY BANK","08 Mar 2022","32531.90","33263.55","32155.35","33158.10"
"NIFTY BANK","07 Mar 2022","33278.15","33543.30","32376.50","32871.25"
"NIFTY BANK","04 Mar 2022","34526.10","35097.75","34094.10","34407.80"
"NIFTY BANK","03 Mar 2022","35621.15","35804.15","34721.15","34944.30"
"NIFTY BANK","02 Mar 2022","35381.90","35553.70","34897.45","35372.80"
"NIFTY BANK","28 Feb 2022","35938.95","36270.25","35611.90","36205.30"
"NIFTY BANK","25 Feb 2022","35901.70","36684.65","35768.20","36430.75"
"NIFTY BANK","24 Feb 2022","36085.20","36709.15","34991.35","35228.10"
"NIFTY BANK","23 Feb 2022","37628.55","37774.60","37318.00","37392.05"
"NIFTY BANK","22 Feb 2022","36833.00","37659.40","36818.10","37371.65"
"NIFTY BANK","21 Feb 2022","37400.00","38054.40","37156.80","37685.60"
"NIFTY BANK","18 Feb 2022","37344.45","37817.55","37304.45","37599.15"
"NIFTY BANK","17 Feb 2022","38042.10","38124.50","37425.60","37531.65"
"NIFTY BANK","16 Feb 2022","38296.50","38461.70","37762.80","37953.80"
"NIFTY BANK","15 Feb 2022","36989.80","38231.60","36651.85","38170.10"
"NIFTY BANK","14 Feb 2022","37664.00","37796.55","36828.05","36908.55"
"NIFTY BANK","11 Feb 2022","38567.65","38790.25","38396.40","38517.25"
"NIFTY BANK","10 Feb 2022","38801.45","39197.20","38520.00","39010.95"
"NIFTY BANK","09 Feb 2022","38283.60","38648.15","38192.00","38610.25"
"NIFTY BANK","08 Feb 2022","38176.10","38222.10","37319.05","38028.45"
"NIFTY BANK","07 Feb 2022","38592.05","38837.55","37802.70","37995.45"
"NIFTY BANK","04 Feb 2022","39128.00","39278.60","38562.60","38789.35"
"NIFTY BANK","03 Feb 2022","39255.70","39424.85","38861.15","39010.00"
"NIFTY BANK","02 Feb 2022","38841.55","39386.60","38752.65","39330.50"
"NIFTY BANK","01 Feb 2022","38460.45","38802.70","37690.60","38505.50"
"NIFTY BANK","31 Jan 2022","38091.80","38217.25","37647.85","37975.35"
"NIFTY BANK","28 Jan 2022","38246.60","38421.70","37581.50","37689.40"
"NIFTY BANK","27 Jan 2022","37058.20","38147.65","37012.25","37982.10"
