"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","31 Mar 2022","13755.35","13800.65","13542.30","13584.10"
"NIFTY PHARMA","30 Mar 2022","13831.35","13840.90","13703.35","13745.60"
"NIFTY PHARMA","29 Mar 2022","13602.95","13791.70","13564.05","13771.40"
"NIFTY PHARMA","28 Mar 2022","13642.20","13722.05","13491.90","13562.25"
"NIFTY PHARMA","25 Mar 2022","13771.80","13785.65","13530.30","13607.05"
"NIFTY PHARMA","24 Mar 2022","13501.90","13783.45","13474.60","13724.50"
"NIFTY PHARMA","23 Mar 2022","13582.45","13725.15","13541.45","13569.65"
"NIFTY PHARMA","22 Mar 2022","13554.50","13577.75","13400.90","13513.15"
"NIFTY PHARMA","21 Mar 2022","13632.10","13749.40","13530.90","13549.55"
"NIFTY PHARMA","17 Mar 2022","13439.65","13566.15","13436.35","13546.05"
"NIFTY PHARMA","16 Mar 2022","13446.50","13447.30","13256.10","13374.50"
"NIFTY PHARMA","15 Mar 2022","13358.60","13556.10","13250.10","13318.85"
"NIFTY PHARMA","14 Mar 2022","13420.35","13452.40","13315.10","13351.90"
"NIFTY PHARMA","11 Mar 2022","13073.65","13426.50","13031.10","13399.00"
"NIFTY PHARMA","10 Mar 2022","13170.55","13227.10","13041.55","13077.05"
"NIFTY PHARMA","09 Mar 2022","12929.75","13130.50","12864.30","13059.25"
"NIFTY PHARMA","08 Mar 2022","12534.00","12873.75","12524.85","12844.85"
"NIFTY PHARMA","07 Mar 2022","12436.75","12570.70","12290.90","12546.85"
"NIFTY PHARMA","04 Mar 2022","12558.50","12731.05","12478.10","12600.15"
"NIFTY PHARMA","03 Mar 2022","12793.60","12815.30","12617.15","12643.75"
"NIFTY PHARMA","02 Mar 2022","12841.25","12938.85","12637.80","12689.55"
"NIFTY PHARMA","28 Feb 2022","12807.40","12946.20","12707.90","12927.60"
"NIFTY PHARMA","25 Feb 2022","12622.85","12925.50","12593.10","12899.85"
"NIFTY PHARMA","24 Feb 2022","12677.75","12808.70","12467.90","12500.10"
"NIFTY PHARMA","23 Feb 2022","13010.90","13077.65","12952.50","12976.30"
"NIFTY PHARMA","22 Feb 2022","12807.30","12976.35","12768.45","12954.50"
"NIFTY PHARMA","21 Feb 2022","13168.40","13221.60","12999.25","13029.90"
"NIFTY PHARMA","18 Feb 2022","13303.75","13303.75","13189.50","13208.80"
"NIFTY PHARMA","17 Feb 2022","13472.15","13475.75","13310.00","13324.40"
"NIFTY PHARMA","16 Feb 2022","13421.05","13519.75","13332.70","13425.10"
"NIFTY PHARMA","15 Feb 2022","13192.95","13368.10","13162.55","13356.90"
"NIFTY PHARMA","14 Feb 2022","13334.60","13482.70","13218.25","13252.15"
"NIFTY PHARMA","11 Feb 2022","13524.90","13583.25","13452.80","13510.30"
"NIFTY PHARMA","10 Feb 2022","13602.80","13646.50","13505.85","13613.05"
"NIFTY PHARMA","09 Feb 2022","13467.40","13612.20","13447.10","13570.30"
"NIFTY PHARMA","08 Feb 2022","13390.70","13508.55","13318.20","13444.70"
"NIFTY PHARMA","07 Feb 2022","13569.15","13590.55","13313.50","13381.70"
"NIFTY PHARMA","04 Feb 2022","13637.85","13688.55","13554.40","13580.30"
"NIFTY PHARMA","03 Feb 2022","13656.85","13667.05","13561.25","13617.60"
"NIFTY PHARMA","02 Feb 2022","13517.20","13656.95","13484.20","13643.65"
"NIFTY PHARMA","01 Feb 2022","13280.05","13495.00","13222.70","13477.50"
"NIFTY PHARMA","31 Jan 2022","13081.10","13260.65","13068.85","13179.90"
"NIFTY PHARMA","28 Jan 2022","12850.85","13208.80","12834.20","12983.05"
