"Index Name","Date","Open","High","Low","Close"
"NIFTY MNC","31 Mar 2023","19019.80","19151.55","19016.50","19134.90"
"NIFTY MNC","29 Mar 2023","18751.60","18975.35","18739.35","18941.00"
"NIFTY MNC","28 Mar 2023","18821.55","18851.30","18651.05","18725.70"
"NIFTY MNC","27 Mar 2023","18885.10","18918.00","18764.85","18786.80"
"NIFTY MNC","24 Mar 2023","18982.75","19004.85","18821.10","18848.45"
"NIFTY MNC","23 Mar 2023","18937.55","19010.30","18901.55","18947.80"
"NIFTY MNC","22 Mar 2023","18989.65","19015.05","18918.75","18952.85"
"NIFTY MNC","21 Mar 2023","18993.20","19030.95","18890.00","18925.15"
"NIFTY MNC","20 Mar 2023","18952.55","19006.35","18757.70","18934.40"
"NIFTY MNC","17 Mar 2023","19054.15","19087.10","18975.90","19018.95"
"NIFTY MNC","16 Mar 2023","18842.65","18996.00","18738.40","18953.00"
"NIFTY MNC","15 Mar 2023","19008.75","19038.25","18812.90","18829.30"
"NIFTY MNC","14 Mar 2023","19002.50","19010.95","18791.80","18875.95"
"NIFTY MNC","13 Mar 2023","19173.15","19243.50","18911.65","18960.00"
"NIFTY MNC","10 Mar 2023","19133.55","19175.85","19023.25","19166.00"
"NIFTY MNC","09 Mar 2023","19386.35","19412.60","19199.10","19221.55"
"NIFTY MNC","08 Mar 2023","19214.70","19357.95","19170.60","19348.25"
"NIFTY MNC","06 Mar 2023","19308.70","19344.30","19239.50","19267.50"
"NIFTY MNC","03 Mar 2023","19147.15","19263.80","19108.80","19228.05"
"NIFTY MNC","02 Mar 2023","19196.05","19201.30","19032.25","19061.10"
"NIFTY MNC","01 Mar 2023","19006.35","19199.80","19005.45","19175.20"
"NIFTY MNC","28 Feb 2023","18961.30","19027.50","18913.25","19009.60"
"NIFTY MNC","27 Feb 2023","19105.55","19113.90","18821.95","18950.60"
"NIFTY MNC","24 Feb 2023","19244.25","19290.45","19104.95","19137.00"
"NIFTY MNC","23 Feb 2023","19237.85","19248.90","19101.00","19188.10"
"NIFTY MNC","22 Feb 2023","19357.20","19358.15","19169.80","19221.20"
"NIFTY MNC","21 Feb 2023","19416.35","19469.40","19346.90","19377.70"
"NIFTY MNC","20 Feb 2023","19503.05","19531.95","19341.65","19372.70"
"NIFTY MNC","17 Feb 2023","19568.30","19599.50","19457.50","19480.30"
"NIFTY MNC","16 Feb 2023","19634.65","19665.15","19563.80","19601.35"
"NIFTY MNC","15 Feb 2023","19390.20","19539.60","19352.50","19524.40"
"NIFTY MNC","14 Feb 2023","19466.95","19496.40","19393.85","19415.60"
"NIFTY MNC","13 Feb 2023","19575.80","19614.75","19411.05","19434.70"
"NIFTY MNC","10 Feb 2023","19560.10","19577.80","19507.70","19561.70"
"NIFTY MNC","09 Feb 2023","19589.90","19626.65","19538.80","19570.95"
"NIFTY MNC","08 Feb 2023","19570.20","19607.30","19516.70","19595.00"
