"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","28 Mar 2024","12252.75","12413.15","12252.55","12329.75"
"NIFTY 200","27 Mar 2024","12207.30","12272.85","12205.55","12219.00"
"NIFTY 200","26 Mar 2024","12100.80","12195.50","12100.50","12173.65"
"NIFTY 200","22 Mar 2024","12084.35","12204.85","12050.50","12168.75"
"NIFTY 200","21 Mar 2024","12060.45","12126.75","12054.10","12114.50"
"NIFTY 200","20 Mar 2024","11973.40","12003.15","11868.35","11965.25"
"NIFTY 200","19 Mar 2024","12053.15","12062.75","11939.60","11950.45"
"NIFTY 200","18 Mar 2024","12065.25","12126.65","12013.55","12094.45"
"NIFTY 200","15 Mar 2024","12113.80","12152.75","11998.85","12080.65"
"NIFTY 200","14 Mar 2024","11983.75","12163.45","11937.40","12147.85"
"NIFTY 200","13 Mar 2024","12337.40","12344.45","11949.05","12008.80"
"NIFTY 200","12 Mar 2024","12351.05","12380.85","12269.80","12293.65"
"NIFTY 200","11 Mar 2024","12440.35","12443.50","12330.85","12345.70"
"NIFTY 200","07 Mar 2024","12410.60","12441.30","12386.75","12417.25"
"NIFTY 200","06 Mar 2024","12355.45","12402.85","12241.20","12391.25"
"NIFTY 200","05 Mar 2024","12380.40","12393.05","12324.40","12361.55"
"NIFTY 200","04 Mar 2024","12389.30","12406.65","12353.15","12386.95"
"NIFTY 200","02 Mar 2024","12372.10","12385.75","12357.30","12369.95"
"NIFTY 200","01 Mar 2024","12206.00","12337.85","12205.35","12331.15"
"NIFTY 200","29 Feb 2024","12112.70","12203.10","12054.75","12160.45"
"NIFTY 200","28 Feb 2024","12293.20","12301.70","12099.10","12119.45"
"NIFTY 200","27 Feb 2024","12245.70","12297.90","12239.80","12277.55"
"NIFTY 200","26 Feb 2024","12277.90","12301.40","12222.45","12255.15"
"NIFTY 200","23 Feb 2024","12324.85","12327.65","12275.85","12292.45"
"NIFTY 200","22 Feb 2024","12208.80","12298.55","12104.80","12282.40"
"NIFTY 200","21 Feb 2024","12301.95","12307.75","12149.95","12181.80"
"NIFTY 200","20 Feb 2024","12236.20","12278.75","12205.80","12269.10"
"NIFTY 200","19 Feb 2024","12242.95","12278.75","12198.60","12240.95"
"NIFTY 200","16 Feb 2024","12184.85","12212.85","12157.15","12198.65"
"NIFTY 200","15 Feb 2024","12114.90","12145.00","12069.75","12124.80"
"NIFTY 200","14 Feb 2024","11887.00","12076.65","11862.75","12063.45"
"NIFTY 200","13 Feb 2024","11939.20","11992.20","11836.40","11983.85"
"NIFTY 200","12 Feb 2024","12077.30","12088.15","11890.15","11914.10"
"NIFTY 200","09 Feb 2024","12064.45","12085.30","11930.15","12055.65"
"NIFTY 200","08 Feb 2024","12185.80","12187.30","12026.35","12052.65"
"NIFTY 200","07 Feb 2024","12156.20","12162.45","12065.45","12126.80"
"NIFTY 200","06 Feb 2024","12013.65","12090.45","11953.65","12082.95"
"NIFTY 200","05 Feb 2024","12063.50","12091.65","11949.35","11975.65"
"NIFTY 200","02 Feb 2024","12000.60","12140.20","11995.45","12017.20"
"NIFTY 200","01 Feb 2024","11992.75","12003.15","11901.20","11937.65"
"NIFTY 200","31 Jan 2024","11822.45","11961.50","11802.50","11953.80"
"NIFTY 200","30 Jan 2024","11957.35","11974.00","11819.60","11829.60"
"NIFTY 200","29 Jan 2024","11771.50","11937.75","11767.65","11925.90"
"NIFTY 200","25 Jan 2024","11783.10","11783.65","11660.20","11724.75"
"NIFTY 200","24 Jan 2024","11614.45","11782.20","11555.45","11769.40"
"NIFTY 200","23 Jan 2024","11943.10","11950.45","11599.40","11626.80"
"NIFTY 200","20 Jan 2024","11916.75","11927.05","11842.80","11855.95"
"NIFTY 200","19 Jan 2024","11835.05","11871.80","11817.10","11862.30"
"NIFTY 200","18 Jan 2024","11732.45","11782.65","11599.90","11749.35"
"NIFTY 200","17 Jan 2024","11844.30","11937.70","11790.75","11801.35"
"NIFTY 200","16 Jan 2024","12056.60","12074.80","11971.10","12019.45"
"NIFTY 200","15 Jan 2024","12042.05","12062.45","11979.60","12055.40"
"NIFTY 200","12 Jan 2024","11920.70","11978.55","11885.75","11960.85"
