"Index Name","Date","Open","High","Low","Close"
"NIFTY HEALTHCARE","28 Mar 2025","13747.4","13793.05","13594.25","13681.30"
"NIFTY HEALTHCARE","27 Mar 2025","13703.8","13765.75","13604.5","13745.45"
"NIFTY HEALTHCARE","26 Mar 2025","13941.4","13984.85","13747.75","13776.10"
"NIFTY HEALTHCARE","25 Mar 2025","14111.85","14127.8","13898.95","13955.15"
"NIFTY HEALTHCARE","24 Mar 2025","14071.85","14114.35","13995.5","14062.20"
"NIFTY HEALTHCARE","21 Mar 2025","13846.3","14031.65","13813.7","14011.90"
"NIFTY HEALTHCARE","20 Mar 2025","13735.3","13830.3","13649.4","13819.70"
"NIFTY HEALTHCARE","19 Mar 2025","13553.5","13684.85","13448.6","13667.15"
"NIFTY HEALTHCARE","18 Mar 2025","13344.8","13518.8","13278.15","13494.20"
"NIFTY HEALTHCARE","17 Mar 2025","13091.95","13311.25","13076.95","13273.35"
"NIFTY HEALTHCARE","13 Mar 2025","13128.85","13162.05","13037.6","13075.75"
"NIFTY HEALTHCARE","12 Mar 2025","13056.85","13121.8","12930.65","13107.90"
"NIFTY HEALTHCARE","11 Mar 2025","12887.1","13085.45","12868.9","13031.95"
"NIFTY HEALTHCARE","10 Mar 2025","13058.7","13137.65","12918.85","12953.30"
"NIFTY HEALTHCARE","07 Mar 2025","13131.2","13155.5","13014.65","13034.85"
"NIFTY HEALTHCARE","06 Mar 2025","13032.75","13133.05","12965.15","13103.30"
"NIFTY HEALTHCARE","05 Mar 2025","12685.25","12956.9","12646.75","12942.30"
"NIFTY HEALTHCARE","04 Mar 2025","12673.25","12783.4","12561.7","12737.45"
"NIFTY HEALTHCARE","03 Mar 2025","12635.75","12779.8","12587","12738.35"
"NIFTY HEALTHCARE","28 Feb 2025","12978.75","12978.75","12650.35","12685.50"
"NIFTY HEALTHCARE","27 Feb 2025","13044.25","13070.25","12883.2","12971.65"
"NIFTY HEALTHCARE","25 Feb 2025","13092.2","13146.05","12993.55","13014.45"
"NIFTY HEALTHCARE","24 Feb 2025","13027.55","13193.75","13005.3","13087.40"
"NIFTY HEALTHCARE","21 Feb 2025","13392.4","13425.6","13072.1","13117.40"
"NIFTY HEALTHCARE","20 Feb 2025","13322.95","13407.95","13300.9","13375.50"
"NIFTY HEALTHCARE","19 Feb 2025","13255.6","13443.8","13081.15","13363.85"
