"Index Name","Date","Open","High","Low","Close"
"NIFTY HOUSING","28 Mar 2025","10963.95","11003.3","10865","10899.00"
"NIFTY HOUSING","27 Mar 2025","10786.8","10961.85","10772.65","10937.35"
"NIFTY HOUSING","26 Mar 2025","10900.25","10936.45","10789.2","10808.40"
"NIFTY HOUSING","25 Mar 2025","10995.9","11017.95","10859.85","10892.50"
"NIFTY HOUSING","24 Mar 2025","10852.2","10956.4","10822.4","10936.70"
"NIFTY HOUSING","21 Mar 2025","10670.75","10802.8","10659.5","10766.80"
"NIFTY HOUSING","20 Mar 2025","10680.85","10686.85","10574.65","10670.20"
"NIFTY HOUSING","19 Mar 2025","10507","10646.75","10505","10631.20"
"NIFTY HOUSING","18 Mar 2025","10320.9","10475.65","10302.65","10465.40"
"NIFTY HOUSING","17 Mar 2025","10215.35","10290.3","10214.2","10252.35"
"NIFTY HOUSING","13 Mar 2025","10293.35","10306.6","10183.4","10199.20"
"NIFTY HOUSING","12 Mar 2025","10275.55","10327.55","10150.3","10246.45"
"NIFTY HOUSING","11 Mar 2025","10114.15","10266.5","10099.8","10247.85"
"NIFTY HOUSING","10 Mar 2025","10266.7","10339.55","10168.25","10190.15"
"NIFTY HOUSING","07 Mar 2025","10281.15","10341.15","10237.85","10268.55"
"NIFTY HOUSING","06 Mar 2025","10272.05","10316.85","10184.1","10300.50"
"NIFTY HOUSING","05 Mar 2025","9995.8","10207.1","9991.85","10202.55"
"NIFTY HOUSING","04 Mar 2025","9899.6","10021.35","9882.4","10001.20"
"NIFTY HOUSING","03 Mar 2025","9948.95","10014.8","9843.25","9982.95"
"NIFTY HOUSING","28 Feb 2025","9987.65","9994.4","9839.7","9910.00"
"NIFTY HOUSING","27 Feb 2025","10118.8","10138.65","10008.55","10043.00"
"NIFTY HOUSING","25 Feb 2025","10171.3","10206.4","10115.6","10138.45"
"NIFTY HOUSING","24 Feb 2025","10198.55","10241.4","10157.3","10178.95"
"NIFTY HOUSING","21 Feb 2025","10281.15","10356.5","10226.55","10290.65"
"NIFTY HOUSING","20 Feb 2025","10204.4","10319.05","10195.65","10304.00"
"NIFTY HOUSING","19 Feb 2025","10108","10286.7","10079.4","10242.80"
"NIFTY HOUSING","18 Feb 2025","10151","10171.45","10033.85","10152.25"
"NIFTY HOUSING","17 Feb 2025","10050.5","10162.3","9942.8","10152.55"
"NIFTY HOUSING","14 Feb 2025","10291.65","10314.45","10018.9","10105.55"
"NIFTY HOUSING","13 Feb 2025","10256","10372.85","10235.05","10262.30"
"NIFTY HOUSING","12 Feb 2025","10222.15","10298.85","10033.75","10250.30"
"NIFTY HOUSING","11 Feb 2025","10394.85","10404.15","10178.35","10225.15"
"NIFTY HOUSING","10 Feb 2025","10531.55","10539.35","10367.2","10402.10"
"NIFTY HOUSING","07 Feb 2025","10515.5","10605.1","10450.2","10546.85"
"NIFTY HOUSING","06 Feb 2025","10623.3","10628.3","10464.75","10492.20"
"NIFTY HOUSING","05 Feb 2025","10591.6","10640.8","10569.4","10582.90"
"NIFTY HOUSING","04 Feb 2025","10423.55","10578.05","10413.05","10568.25"
"NIFTY HOUSING","03 Feb 2025","10384.5","10394.55","10262.7","10354.40"
"NIFTY HOUSING","01 Feb 2025","10592.05","10674.65","10362.7","10488.40"
"NIFTY HOUSING","31 Jan 2025","10434.05","10581.25","10397.95","10560.55"
"NIFTY HOUSING","30 Jan 2025","10412.4","10489.25","10375.95","10412.85"
"NIFTY HOUSING","29 Jan 2025","10301.95","10410.05","10284.45","10403.90"
"NIFTY HOUSING","28 Jan 2025","10325.75","10380.55","10211.3","10290.10"
"NIFTY HOUSING","27 Jan 2025","10320.75","10357.25","10249.75","10275.60"
"NIFTY HOUSING","24 Jan 2025","10485.85","10551.1","10365.5","10395.50"
"NIFTY HOUSING","23 Jan 2025","10347.8","10492.2","10324.2","10478.75"
"NIFTY HOUSING","22 Jan 2025","10482.45","10484.2","10245.1","10368.00"
"NIFTY HOUSING","21 Jan 2025","10684.75","10687.85","10434","10445.75"
"NIFTY HOUSING","20 Jan 2025","10592.2","10682.35","10538.8","10658.00"
"NIFTY HOUSING","17 Jan 2025","10518.5","10588.7","10494.95","10558.90"
"NIFTY HOUSING","16 Jan 2025","10557.1","10584.4","10523","10532.50"
"NIFTY HOUSING","15 Jan 2025","10409.65","10488.5","10364.25","10434.80"
"NIFTY HOUSING","14 Jan 2025","10169.45","10382","10166.65","10356.80"
"NIFTY HOUSING","13 Jan 2025","10334.15","10374.65","10102.25","10130.75"
"NIFTY HOUSING","10 Jan 2025","10638.1","10660.25","10443.7","10459.10"
"NIFTY HOUSING","09 Jan 2025","10787.1","10793.45","10646.95","10656.20"
"NIFTY HOUSING","08 Jan 2025","10929.85","10934","10721.9","10799.20"
"NIFTY HOUSING","07 Jan 2025","10852","10953.7","10848.95","10910.65"
"NIFTY HOUSING","06 Jan 2025","11128.35","11132.7","10792.5","10826.20"
"NIFTY HOUSING","03 Jan 2025","11195.95","11226.6","11100.75","11115.65"
"NIFTY HOUSING","02 Jan 2025","11080.1","11202.55","11034.65","11192.60"
"NIFTY HOUSING","01 Jan 2025","11032.45","11095.7","10973.55","11061.20"
"NIFTY HOUSING","31 Dec 2024","10971.25","11056.7","10928.45","11036.90"
