"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","28 Mar 2025","21277.3","21313.35","20999.95","21137.45"
"NIFTY PHARMA","27 Mar 2025","21247.1","21305.05","21042.85","21275.15"
"NIFTY PHARMA","26 Mar 2025","21568.95","21594.45","21299.9","21360.60"
"NIFTY PHARMA","25 Mar 2025","21840.4","21869","21427.8","21542.50"
"NIFTY PHARMA","24 Mar 2025","21734.85","21807.8","21607.65","21771.15"
"NIFTY PHARMA","21 Mar 2025","21417.5","21680.8","21358","21625.90"
"NIFTY PHARMA","20 Mar 2025","21242.85","21364.95","21112","21340.60"
"NIFTY PHARMA","19 Mar 2025","21133.25","21172.2","20915.3","21145.65"
"NIFTY PHARMA","18 Mar 2025","20807.8","21077.3","20712.25","21041.30"
"NIFTY PHARMA","17 Mar 2025","20442","20775.55","20404.55","20703.95"
"NIFTY PHARMA","13 Mar 2025","20458.5","20499.5","20305.15","20386.85"
"NIFTY PHARMA","12 Mar 2025","20357","20443.35","20178.3","20424.00"
"NIFTY PHARMA","11 Mar 2025","20150.25","20444.45","20101.45","20332.10"
"NIFTY PHARMA","10 Mar 2025","20429.95","20591.3","20198.3","20256.55"
"NIFTY PHARMA","07 Mar 2025","20458.6","20509.7","20327.75","20378.30"
"NIFTY PHARMA","06 Mar 2025","20293.6","20457","20200.45","20423.35"
"NIFTY PHARMA","05 Mar 2025","19761.6","20149.65","19713.1","20126.80"
"NIFTY PHARMA","04 Mar 2025","19795.2","19884.9","19635.15","19820.65"
"NIFTY PHARMA","03 Mar 2025","19764.25","19908.95","19633.95","19879.80"
"NIFTY PHARMA","28 Feb 2025","20223.9","20223.9","19755.8","19813.50"
"NIFTY PHARMA","27 Feb 2025","20292.8","20336.9","20051.65","20201.25"
"NIFTY PHARMA","25 Feb 2025","20393.35","20500.85","20203.4","20249.15"
"NIFTY PHARMA","24 Feb 2025","20256.6","20550.6","20222.15","20389.70"
"NIFTY PHARMA","21 Feb 2025","20824.7","20869.1","20303.35","20385.65"
"NIFTY PHARMA","20 Feb 2025","20746.3","20841.15","20682.1","20785.75"
"NIFTY PHARMA","19 Feb 2025","20590.6","20930.15","20299.95","20820.00"
"NIFTY PHARMA","18 Feb 2025","21060.55","21142.05","20835.55","20969.20"
"NIFTY PHARMA","17 Feb 2025","20755.55","21157.9","20652.95","21076.00"
"NIFTY PHARMA","14 Feb 2025","21466.8","21499.7","20673.1","20811.55"
"NIFTY PHARMA","13 Feb 2025","21165.45","21611.2","21165.45","21427.10"
"NIFTY PHARMA","12 Feb 2025","21287.95","21306.5","20931.15","21142.05"
"NIFTY PHARMA","11 Feb 2025","21680.9","21704.95","21123.65","21249.50"
"NIFTY PHARMA","10 Feb 2025","22028.85","22082","21608.6","21665.65"
"NIFTY PHARMA","07 Feb 2025","22049.45","22143.8","21891.55","22077.00"
"NIFTY PHARMA","06 Feb 2025","21942.35","22170.85","21910.35","22009.05"
"NIFTY PHARMA","05 Feb 2025","21807.65","21929.9","21604.55","21868.50"
"NIFTY PHARMA","04 Feb 2025","21486.85","21761.85","21459.65","21733.95"
"NIFTY PHARMA","03 Feb 2025","21370.2","21397.8","21060.7","21361.60"
"NIFTY PHARMA","01 Feb 2025","21443.25","21670.45","21234.2","21334.80"
"NIFTY PHARMA","31 Jan 2025","21413.1","21641.2","21304.85","21438.60"
"NIFTY PHARMA","30 Jan 2025","21245.6","21485.3","21198.5","21419.65"
"NIFTY PHARMA","29 Jan 2025","20816","21220.35","20783.95","21163.90"
"NIFTY PHARMA","28 Jan 2025","21266.8","21272.55","20673.8","20796.60"
"NIFTY PHARMA","27 Jan 2025","21786","21807.15","21225.65","21292.30"
"NIFTY PHARMA","24 Jan 2025","22199.55","22249.75","21775.9","21872.40"
"NIFTY PHARMA","23 Jan 2025","21980.3","22373.95","21959.95","22343.30"
"NIFTY PHARMA","22 Jan 2025","21962.95","22055.05","21829.45","22034.95"
"NIFTY PHARMA","21 Jan 2025","22195.75","22395.8","21862.65","21882.90"
"NIFTY PHARMA","20 Jan 2025","22099.8","22213.9","21863.45","22182.40"
"NIFTY PHARMA","17 Jan 2025","21950.3","22124.4","21836.95","22061.70"
"NIFTY PHARMA","16 Jan 2025","22083.55","22085.7","21810.3","21909.75"
"NIFTY PHARMA","15 Jan 2025","22281.85","22288.55","21834","21972.70"
"NIFTY PHARMA","14 Jan 2025","21970.75","22250","21910.05","22203.90"
"NIFTY PHARMA","13 Jan 2025","22256.95","22277.8","21848.55","21903.35"
"NIFTY PHARMA","10 Jan 2025","22826.65","22918.85","22336.8","22380.85"
"NIFTY PHARMA","09 Jan 2025","23043.15","23085.3","22836.2","22868.10"
"NIFTY PHARMA","08 Jan 2025","23338.7","23418.2","22897.5","23011.10"
"NIFTY PHARMA","07 Jan 2025","23116.8","23413.2","23116.8","23228.55"
"NIFTY PHARMA","06 Jan 2025","23283.95","23301.85","22912.3","23073.05"
"NIFTY PHARMA","03 Jan 2025","23569.95","23604.45","23208.85","23263.50"
"NIFTY PHARMA","02 Jan 2025","23494.65","23566.75","23308.95","23553.40"
"NIFTY PHARMA","01 Jan 2025","23441.8","23509.65","23321.65","23459.75"
"NIFTY PHARMA","31 Dec 2024","23191.35","23511.95","23152.05","23412.25"
"NIFTY PHARMA","30 Dec 2024","23037.2","23313.2","22980.8","23241.15"
"NIFTY PHARMA","27 Dec 2024","22756.3","23066.1","22691.05","23008.35"
"NIFTY PHARMA","26 Dec 2024","22571.4","22745.35","22451.2","22712.55"
"NIFTY PHARMA","24 Dec 2024","22603.1","22669.3","22470.4","22558.90"
"NIFTY PHARMA","23 Dec 2024","22603.8","22705.45","22363.55","22572.05"
