"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"28-Mar-2025","85.5814","110.7389","92.3246","56.7500"
"27-Mar-2025","85.7610","110.8592","92.4452","57.0100"
"26-Mar-2025","85.8683","111.0706","92.6118","57.0400"
"25-Mar-2025","85.7302","110.7526","92.5875","56.9500"
"24-Mar-2025","85.8318","111.0166","93.0171","57.3500"
"21-Mar-2025","86.2184","111.4557","93.3452","57.6600"
"20-Mar-2025","86.3040","112.1267","94.0236","58.2200"
"19-Mar-2025","86.5016","112.2779","94.4943","57.7200"
"18-Mar-2025","86.6705","112.4475","94.5523","57.8700"
"17-Mar-2025","86.7920","112.2423","94.4187","58.2900"
"13-Mar-2025","87.0833","112.8141","94.7472","58.9800"
"12-Mar-2025","87.2605","112.8127","95.1355","58.9200"
"11-Mar-2025","87.3267","112.6282","94.8973","59.3000"
"10-Mar-2025","87.2392","112.6654","94.5528","59.0600"
"07-Mar-2025","87.0612","112.2201","94.1979","59.0200"
"06-Mar-2025","87.0859","112.3321","94.0888","58.5000"
"05-Mar-2025","87.0896","111.4503","92.6314","58.1900"
"04-Mar-2025","87.3786","110.9056","91.5885","58.5200"
"03-Mar-2025","87.3314","110.0690","90.9498","58.1000"
"28-Feb-2025","87.4006","109.9762","90.7807","58.3000"
"27-Feb-2025","87.2119","110.4138","91.3126","58.3900"
"25-Feb-2025","87.0022","109.9250","91.1568","58.0900"
"24-Feb-2025","86.6916","109.8238","91.1117","58.0100"
"21-Feb-2025","86.6466","109.7044","90.9108","57.5800"
"20-Feb-2025","86.6995","109.2321","90.4467","57.7400"
"18-Feb-2025","86.9742","109.5753","90.9570","57.2200"
"17-Feb-2025","86.7721","109.2594","91.0262","57.2100"
"14-Feb-2025","86.8862","109.1221","90.8581","56.9300"
"13-Feb-2025","86.8822","108.5622","90.6732","56.4000"
"12-Feb-2025","86.8461","108.0707","89.9610","56.5200"
"11-Feb-2025","86.8861","107.4086","89.5442","57.2000"
"10-Feb-2025","87.5858","108.6700","90.3564","57.6900"
"07-Feb-2025","87.4782","108.6858","90.7610","57.6800"
"06-Feb-2025","87.5617","109.3605","90.9836","57.4300"
"05-Feb-2025","87.2237","108.8662","90.6022","56.9400"
"04-Feb-2025","87.1206","108.0081","89.7011","56.1100"
"03-Feb-2025","87.1162","107.0490","89.2674","56.0500"
"31-Jan-2025","86.6414","107.6202","90.0094","55.9600"
"30-Jan-2025","86.5842","107.6848","90.1821","55.9900"
"29-Jan-2025","86.5768","107.8493","90.3896","55.7600"
"28-Jan-2025","86.5358","107.6782","90.3347","55.5700"
"27-Jan-2025","86.4175","107.6439","90.4031","55.3300"
"24-Jan-2025","86.2904","107.0887","90.2149","55.5900"
"23-Jan-2025","86.4593","106.4798","89.9897","55.2300"
"22-Jan-2025","86.5661","106.7031","90.0807","55.5200"
"21-Jan-2025","86.5139","106.1866","89.7755","55.6500"
"20-Jan-2025","86.5481","105.6937","89.2051","55.4200"
"17-Jan-2025","86.5844","105.7138","89.0798","55.6300"
"16-Jan-2025","86.4854","105.6609","88.9687","55.3700"
"15-Jan-2025","86.5008","105.5621","89.0733","54.9500"
"14-Jan-2025","86.5497","105.6512","88.6950","54.9000"
"13-Jan-2025","86.4368","105.0472","88.3563","54.8800"
"10-Jan-2025","85.8956","105.4741","88.3488","54.2300"
"09-Jan-2025","85.8806","105.7597","88.4731","54.3000"
"08-Jan-2025","85.8443","107.2052","88.8946","54.3100"
"07-Jan-2025","85.7191","107.4906","89.1382","54.3200"
"06-Jan-2025","85.8279","106.8105","88.5200","54.4300"
"03-Jan-2025","85.7598","106.3410","88.1056","54.5300"
"02-Jan-2025","85.7853","107.4993","88.8924","54.7100"
"01-Jan-2025","85.7090","107.2631","88.7597","54.5100"
"31-Dec-2024","85.6232","107.4645","89.0852","54.8200"
"30-Dec-2024","85.4655","107.5686","89.1360","54.1000"
"27-Dec-2024","85.5914","107.2055","89.1109","54.2600"
"26-Dec-2024","85.2684","106.9647","88.6712","54.1800"
"24-Dec-2024","85.1932","106.7851","88.5646","54.2500"
"23-Dec-2024","85.0713","106.9295","88.7810","54.3200"
"20-Dec-2024","85.0880","106.2908","88.1705","54.2300"
"19-Dec-2024","85.0739","107.1477","88.3595","54.8300"
"18-Dec-2024","84.9370","107.9408","89.2592","55.3800"
"17-Dec-2024","84.9264","107.6006","89.1659","55.1100"
"16-Dec-2024","84.8259","107.1594","89.1769","55.1800"
"13-Dec-2024","84.8411","107.3890","88.7398","55.4900"
"12-Dec-2024","84.8732","108.3712","89.1961","55.6400"
"11-Dec-2024","84.8427","108.3221","89.2947","55.9100"
"10-Dec-2024","84.8531","108.2793","89.6552","56.1400"
"09-Dec-2024","84.7305","107.8405","89.3189","56.4400"
"06-Dec-2024","84.6578","107.9127","89.5324","56.5000"
"05-Dec-2024","84.7335","107.7567","89.2001","56.5800"
"04-Dec-2024","84.6885","107.5143","89.1098","56.4700"
"03-Dec-2024","84.7450","107.2047","88.9054","56.4700"
"02-Dec-2024","84.6812","107.4548","89.1275","56.2400"
"29-Nov-2024","84.4971","107.4612","89.3568","56.3100"
"28-Nov-2024","84.4917","106.9693","89.1168","55.7400"
"27-Nov-2024","84.4708","106.2327","88.5338","55.4900"
"26-Nov-2024","84.2835","105.7882","88.3184","54.7900"
"25-Nov-2024","84.2776","106.1948","88.3656","54.6100"
"22-Nov-2024","84.4975","106.2139","88.4458","54.5700"
"21-Nov-2024","84.4561","106.8415","89.0770","54.5500"
"19-Nov-2024","84.4036","106.9996","89.4217","54.6400"
"18-Nov-2024","84.3875","106.6242","88.9686","54.6500"
"14-Nov-2024","84.4050","107.1291","89.0630","54.1500"
"13-Nov-2024","84.4063","107.5342","89.5658","54.4400"
"12-Nov-2024","84.4011","108.2613","89.7707","54.9100"
"11-Nov-2024","84.3848","108.9813","90.4256","54.9800"
"08-Nov-2024","84.3751","109.3974","90.9243","55.1900"
"07-Nov-2024","84.3562","109.0939","90.6565","54.7600"
"06-Nov-2024","84.2366","108.2822","90.2472","54.6100"
"05-Nov-2024","84.1225","109.0295","91.5139","55.2200"
"04-Nov-2024","84.1055","109.2828","91.6565","55.3600"
"31-Oct-2024","84.0886","108.9508","91.2505","55.0300"
"30-Oct-2024","84.0847","109.3779","90.9903","54.8300"
"29-Oct-2024","84.0783","109.0042","90.8791","54.9500"
"28-Oct-2024","84.0775","108.9235","90.7460","54.8300"
"25-Oct-2024","84.0771","108.9835","90.9557","55.3400"
"24-Oct-2024","84.0738","108.7282","90.7011","55.2400"
"23-Oct-2024","84.0750","109.2017","90.8118","55.2400"
"22-Oct-2024","84.0718","109.3797","91.0038","55.7800"
"21-Oct-2024","84.0744","109.6112","91.2695","56.2500"
"18-Oct-2024","84.0710","109.8018","91.1716","56.0600"
"17-Oct-2024","84.0304","109.1146","91.2072","56.1700"
"16-Oct-2024","84.0696","109.2843","91.4621","56.3300"
"15-Oct-2024","84.0736","109.7256","91.5920","56.2800"
"14-Oct-2024","84.0725","109.8771","91.8812","56.3400"
"11-Oct-2024","84.0586","109.6914","91.9343","56.4800"
"10-Oct-2024","83.9685","109.7905","91.8666","56.2900"
"09-Oct-2024","83.9620","109.8576","92.0627","56.5500"
"08-Oct-2024","83.9399","109.8650","92.2057","56.7400"
"07-Oct-2024","83.9719","110.1532","92.0987","56.5600"
"04-Oct-2024","83.9660","110.2910","92.6218","57.4800"
"03-Oct-2024","83.9492","110.5969","92.6077","57.2400"
"01-Oct-2024","83.8149","112.0588","93.3145","58.0400"
"30-Sep-2024","83.7888","112.1597","93.5340","59.1100"
"27-Sep-2024","83.6688","112.0498","93.4608","58.2300"
"26-Sep-2024","83.7009","111.6983","93.3215","57.8400"
"25-Sep-2024","83.5471","111.9810","93.4870","58.2400"
"24-Sep-2024","83.6319","111.5348","92.8855","57.9600"
"23-Sep-2024","83.5128","111.2056","93.2064","57.9400"
"20-Sep-2024","83.4922","111.2344","93.2853","58.8300"
"19-Sep-2024","83.6172","110.7766","93.1440","58.7200"
"17-Sep-2024","83.8302","110.7576","93.2991","59.6300"
"16-Sep-2024","83.8939","110.4061","93.1502","59.8800"
"13-Sep-2024","83.9180","110.2235","92.9537","59.4900"
"12-Sep-2024","83.9843","109.6141","92.5490","58.8800"
"11-Sep-2024","83.9508","109.8474","92.7058","59.3800"
"10-Sep-2024","83.9750","109.8964","92.7095","58.6000"
"09-Sep-2024","83.9425","110.0850","92.9036","58.7400"
"06-Sep-2024","83.9308","110.6275","93.3092","58.9500"
"05-Sep-2024","83.9825","110.4157","93.0974","58.6600"
"04-Sep-2024","83.9682","110.0739","92.7921","57.8200"
"03-Sep-2024","83.9525","110.0869","92.8067","57.4400"
"02-Sep-2024","83.8759","110.1906","92.7679","57.3500"
"30-Aug-2024","83.8709","110.4966","92.9083","57.8600"
"29-Aug-2024","83.8899","110.9114","93.3896","58.0300"
"28-Aug-2024","83.9671","111.0504","93.5920","58.1100"
"27-Aug-2024","83.9424","110.8163","93.7513","58.0000"
"26-Aug-2024","83.8504","110.6669","93.7693","58.2500"
"23-Aug-2024","83.8746","110.0698","93.3362","57.6800"
"22-Aug-2024","83.9569","109.9298","93.5884","57.7900"
"21-Aug-2024","83.9183","109.2566","93.2892","57.5100"
"20-Aug-2024","83.7804","108.8821","92.8225","56.9700"
"19-Aug-2024","83.9201","108.7985","92.6909","57.7000"
"16-Aug-2024","83.9561","108.1478","92.2185","56.3700"
"14-Aug-2024","83.9366","107.6879","92.2726","57.0400"
"13-Aug-2024","83.9696","107.5309","91.8224","56.8000"
"12-Aug-2024","83.9691","107.2655","91.6915","57.0200"
"09-Aug-2024","83.9000","107.1218","91.6697","57.0200"
"08-Aug-2024","83.9584","106.6719","91.8320","57.4000"
"07-Aug-2024","83.9519","106.6592","91.6212","57.2400"
"06-Aug-2024","83.9078","107.0977","91.8304","57.5200"
"05-Aug-2024","83.8390","106.7114","91.4387","58.8200"
"02-Aug-2024","83.7375","106.6486","90.4666","56.1500"
"01-Aug-2024","83.7251","107.4601","90.6107","55.8700"
"31-Jul-2024","83.7440","107.5463","90.6222","54.7800"
"30-Jul-2024","83.7328","107.5911","90.6056","54.0600"
"29-Jul-2024","83.7371","107.7423","90.9162","54.5900"
"26-Jul-2024","83.7272","107.6776","90.8596","54.4800"
"25-Jul-2024","83.7075","107.8420","90.7038","54.8200"
"24-Jul-2024","83.7028","107.8477","90.7746","54.1400"
"23-Jul-2024","83.6625","108.0741","91.0516","53.4500"
"22-Jul-2024","83.6654","108.0327","91.0581","53.4100"
"19-Jul-2024","83.6405","108.1667","91.0655","53.0100"
"18-Jul-2024","83.6393","108.7428","91.4384","53.5300"
"16-Jul-2024","83.5781","108.2777","90.9764","52.7100"
"15-Jul-2024","83.5658","108.3603","90.9931","52.8500"
"12-Jul-2024","83.5385","107.8270","90.7685","52.4900"
"11-Jul-2024","83.5342","107.4422","90.5277","51.6500"
"10-Jul-2024","83.4923","106.8011","90.3264","51.7200"
"09-Jul-2024","83.4843","106.9222","90.3929","51.9000"
"08-Jul-2024","83.4755","106.8998","90.3005","51.9700"
"05-Jul-2024","83.5000","106.6501","90.3709","51.9700"
"04-Jul-2024","83.5016","106.4545","90.1094","51.7300"
"03-Jul-2024","83.5337","105.9625","89.7219","51.6200"
"02-Jul-2024","83.5150","105.5457","89.6411","51.6500"
"01-Jul-2024","83.4043","105.8034","89.8464","51.8100"
"28-Jun-2024","83.4534","105.4640","89.2490","51.8600"
"27-Jun-2024","83.4896","105.5103","89.2882","52.0500"
"26-Jun-2024","83.5409","105.9610","89.4060","52.2700"
"25-Jun-2024","83.4275","105.8673","89.5700","52.3300"
"24-Jun-2024","83.5138","105.6522","89.4010","52.2800"
"21-Jun-2024","83.5860","105.8087","89.5362","52.5800"
"20-Jun-2024","83.5265","106.1210","89.6423","52.8100"
"19-Jun-2024","83.4251","106.1573","89.5496","52.8700"
"18-Jun-2024","83.4817","105.9644","89.5358","52.8800"
"14-Jun-2024","83.5458","106.3694","89.5505","52.8900"
"13-Jun-2024","83.5469","106.7724","90.2741","53.1700"
"12-Jun-2024","83.5645","106.5130","89.7901","53.1500"
"11-Jun-2024","83.5054","106.2645","89.9325","53.0900"
"10-Jun-2024","83.4919","106.1366","89.7788","53.1400"
"07-Jun-2024","83.4257","106.6631","90.8439","53.7200"
"06-Jun-2024","83.4649","106.7794","90.8070","53.4700"
"05-Jun-2024","83.3898","106.4560","90.6747","53.5300"
"04-Jun-2024","83.5021","106.8621","91.0195","53.5200"
"03-Jun-2024","83.0659","105.7977","90.1542","52.8100"
"31-May-2024","83.2988","105.9283","90.1210","53.0800"
"30-May-2024","83.4231","105.8673","90.0508","53.1800"
"29-May-2024","83.3270","106.3203","90.4226","53.0400"
"28-May-2024","83.1644","106.2253","90.4468","53.0200"
"27-May-2024","83.0838","105.8277","90.1132","52.9800"
"24-May-2024","83.1219","105.5039","89.8930","52.9200"
"22-May-2024","83.2301","106.1062","90.3879","53.2100"
"21-May-2024","83.3614","106.0007","90.5505","53.3500"
"17-May-2024","83.4815","105.7226","90.6832","53.6300"
"16-May-2024","83.5011","105.8610","90.8342","54.1500"
"15-May-2024","83.5092","105.1587","90.3926","53.4100"
"14-May-2024","83.5201","104.8767","90.0825","53.3700"
"13-May-2024","83.5234","104.6431","89.9792","53.6000"
"10-May-2024","83.4946","104.6928","90.0133","53.6600"
"09-May-2024","83.4976","104.2089","89.6675","53.6000"
"08-May-2024","83.5147","104.3177","89.7549","53.8100"
"06-May-2024","83.4725","104.7836","89.8309","54.2800"
"03-May-2024","83.3795","104.6174","89.5007","54.4500"
"02-May-2024","83.4526","104.5850","89.4818","53.7300"
"30-Apr-2024","83.5187","104.6411","89.3405","53.2500"
"29-Apr-2024","83.4392","104.5560","89.4607","53.1300"
"26-Apr-2024","83.3395","104.2560","89.4288","53.4300"
"25-Apr-2024","83.3758","104.1820","89.4072","53.5700"
"24-Apr-2024","83.2987","103.6880","89.1124","53.7700"
"23-Apr-2024","83.3765","102.8772","88.7387","53.8700"
"22-Apr-2024","83.4113","103.2977","88.9698","53.9000"
"19-Apr-2024","83.5214","103.7959","88.8874","54.0900"
"18-Apr-2024","83.5170","104.2476","89.2736","54.1800"
"16-Apr-2024","83.4982","103.6719","88.5593","54.0400"
"15-Apr-2024","83.4422","104.0697","88.9071","54.2500"
"12-Apr-2024","83.3931","104.4243","89.1261","54.4200"
"10-Apr-2024","83.2253","105.5186","90.2945","54.8300"
