iter	RMSE
0	3.661565274
1	3.060944352
2	2.60808017
3	2.197662137
4	1.895363068
5	1.636817617
6	1.44312494
7	1.296473545
8	1.150142515
9	1.038271764
10	0.9503087745
11	0.8908233184
12	0.8356438824
13	0.7846145763
14	0.7493568182
15	0.7168884622
16	0.688445417
17	0.6532288362
18	0.6313004492
19	0.613199022
20	0.5972790458
21	0.5832823161
22	0.5690349694
23	0.5532102501
24	0.5397928192
25	0.5331030947
26	0.5281293957
27	0.5168517076
28	0.5080892907
29	0.5008740726
30	0.4935808668
31	0.488337298
32	0.482274528
33	0.4792391293
34	0.4722182411
35	0.4653799198
36	0.4618987969
37	0.4498073157
38	0.4461446037
39	0.436441618
40	0.4282817467
41	0.4183660913
42	0.4159911985
43	0.4125412368
44	0.4102384122
45	0.4042222984
46	0.4007329994
47	0.3921696462
48	0.389815454
49	0.3867524559
50	0.3852323912
51	0.3807922215
52	0.3739008659
53	0.3705565594
54	0.365855217
55	0.3584036721
56	0.3558463728
57	0.3531640014
58	0.3515298033
59	0.3458519197
60	0.3446435423
61	0.3432778189
62	0.3363925155
63	0.3318613773
64	0.326317002
65	0.3215957304
66	0.3165651762
67	0.3127662196
68	0.3076287566
69	0.3045135302
70	0.301116437
71	0.2982397134
72	0.2956859157
73	0.2948989553
74	0.2935516893
75	0.2903008133
76	0.2859508858
77	0.2843962765
78	0.2827665351
79	0.2814227851
80	0.2792636694
81	0.2764990761
82	0.2749442779
83	0.2734136869
84	0.2687672667
85	0.2672276541
86	0.2644532303
87	0.2630213335
88	0.2606331863
89	0.2566750034
90	0.2559369919
91	0.2551553199
92	0.25462868
93	0.2500299168
94	0.2461201914
95	0.2443191278
96	0.2418408045
97	0.2401302368
98	0.238551362
99	0.237809463
100	0.2364623789
101	0.2353613414
102	0.2352461479
103	0.2340397476
104	0.2323104534
105	0.2322343708
106	0.2311040215
107	0.2308148267
108	0.2302052169
109	0.2272841228
110	0.2252878833
111	0.2229778488
112	0.2211382576
113	0.2193983033
114	0.2193627281
115	0.2187875392
116	0.2165741424
117	0.2160328418
118	0.2142502637
119	0.213864065
120	0.2135976389
121	0.2118952147
122	0.2114444086
123	0.2086058898
124	0.2082347183
125	0.2057049571
126	0.2037214676
127	0.2022162162
128	0.2009765528
129	0.2009485015
130	0.2004418634
131	0.1992834387
132	0.1986363337
133	0.1977169939
134	0.1969225502
135	0.1951019222
136	0.1941321498
137	0.1937625333
138	0.193432074
139	0.1929525081
140	0.1920269334
141	0.1907049127
142	0.1884156347
143	0.1881326964
144	0.187861186
145	0.1868687455
146	0.1841066009
147	0.1836994895
148	0.1826501943
149	0.1818224034
150	0.1809838291
151	0.1798687825
152	0.1792382445
153	0.17789984
154	0.1767898088
155	0.1758241232
156	0.1745587764
157	0.1742863244
158	0.1733673225
159	0.1722160291
160	0.1719537002
161	0.1717369455
162	0.1708776399
163	0.1703280242
164	0.1700964482
165	0.1694099674
166	0.1679917936
167	0.1677854121
168	0.1665747693
169	0.1657670161
170	0.1649928333
171	0.1647540073
172	0.1640618638
173	0.1639397343
174	0.1624820091
175	0.1616013777
176	0.1597951408
177	0.1584081905
178	0.1574910452
179	0.1565482924
180	0.1560457527
181	0.155842641
182	0.1552326848
183	0.1550581106
184	0.1534075134
185	0.1526881123
186	0.1522254779
187	0.1510960441
188	0.1497486064
189	0.1491809128
190	0.1482635767
191	0.1481511048
192	0.1480764886
193	0.147338438
194	0.146634285
195	0.1461586213
196	0.1451273022
197	0.1446316956
198	0.1444992557
199	0.1436894018
