iter	Passed	Remaining
0	1	385
1	3	351
2	5	356
3	6	342
4	8	334
5	10	340
6	11	330
7	13	321
8	14	314
9	16	311
10	17	305
11	19	301
12	20	296
13	21	290
14	23	289
15	24	285
16	26	281
17	27	277
18	28	274
19	30	274
20	31	271
21	33	268
22	34	267
23	36	266
24	37	263
25	39	261
26	40	258
27	41	255
28	43	255
29	44	253
30	46	251
31	47	249
32	49	248
33	50	246
34	51	245
35	53	244
36	54	242
37	56	242
38	58	240
39	59	238
40	61	237
41	63	237
42	64	236
43	66	235
44	67	233
45	69	233
46	71	232
47	72	230
48	74	229
49	76	228
50	77	227
51	79	225
52	81	224
53	82	224
54	84	223
55	86	221
56	87	220
57	89	219
58	91	217
59	92	216
60	94	214
61	96	214
62	97	213
63	99	211
64	101	210
65	103	210
66	105	208
67	106	206
68	108	206
69	110	205
70	112	203
71	113	202
72	115	200
73	117	199
74	118	197
75	119	195
76	121	194
77	123	192
78	124	191
79	126	190
80	128	188
81	130	187
82	131	185
83	132	183
84	134	181
85	136	180
86	137	179
87	139	177
88	140	175
89	142	174
90	144	172
91	145	170
92	146	168
93	148	167
94	150	166
95	152	164
96	153	162
97	155	161
98	156	159
99	158	158
100	159	156
101	161	154
102	162	153
103	164	151
104	165	149
105	167	148
106	169	146
107	170	145
108	172	143
109	173	142
110	175	140
111	177	139
112	178	137
113	180	135
114	181	134
115	183	132
116	184	131
117	186	129
118	187	127
119	189	126
120	190	124
121	191	122
122	193	121
123	195	119
124	196	118
125	198	116
126	199	114
127	201	113
128	202	111
129	204	110
130	205	108
131	207	106
132	208	105
133	210	103
134	211	101
135	214	100
136	215	99
137	217	97
138	218	95
139	220	94
140	221	92
141	223	91
142	224	89
143	226	87
144	227	86
145	229	84
146	230	83
147	231	81
148	233	79
149	234	78
150	236	76
151	237	75
152	239	73
153	240	71
154	242	70
155	243	68
156	245	67
157	246	65
158	248	64
159	249	62
160	251	60
161	252	59
162	254	57
163	255	56
164	257	54
165	259	53
166	260	51
167	261	49
168	263	48
169	264	46
170	266	45
171	267	43
172	269	41
173	270	40
174	271	38
175	273	37
176	274	35
177	276	34
178	277	32
179	279	31
180	280	29
181	281	27
182	283	26
183	284	24
184	286	23
185	287	21
186	289	20
187	290	18
188	292	17
189	293	15
190	295	13
191	296	12
192	297	10
193	299	9
194	300	7
195	302	6
196	303	4
197	305	3
198	306	1
199	307	0
